Название Цена Типоразмер Поддерживаемые_форматы
DEXP_DC-101B 1600 Mini-Tower Micro-ATX/Mini-ITX
AeroCool_CS-107 2600 Mini-Tower Micro-ATX/Mini-ITX
Zalman_T6 3200 Mid-Tower ATX/Micro-ATX/Mini-ITX
Cougar_MX330-F 4800 Mid-Tower ATX/Micro-ATX/Mini-ITX
Deepcool_MATREXX_55_MESH 5800 Mid-Tower E-ATX/ATX/Micro-ATX/Mini-ITX
ARDOR_GAMING_Rare_M2 6800 Mid-Tower ATX/Micro-ATX/Mini-ITX
Montech_AIR_903_BASE 7800 Mid-Tower E-ATX/ATX/Micro-ATX/Mini-ITX
Lian_Li_Lancool_215 9500 Mid-Tower E-ATX/ATX/Micro-ATX/Mini-ITX
Fractal_Design_Meshify_2 16000 Full-Tower E-ATX/ATX/Micro-ATX/Mini-ITX
ASUS_ROG_Hyperion_GR701 42000 Full-Tower E-ATX/ATX/Micro-ATX/Mini-ITX
