Название Цена Сокет Ядра Потоки Частота TDP
AMD_Ryzen_3_1200 3500 AM4 4 4 3.1 65
Intel_Core_i3-8100 4500 1151 4 4 3.6 65
Intel_Core_i7-9700K 15000 1151 8 8 3.6 95
AMD_Ryzen_5_3600 8000 AM4 6 12 3.6 65
AMD_Ryzen_7_5700X 16000 AM4 8 16 3.4 65
Intel_Core_i5-12400F 13500 1700 6 12 2.5 65
Intel_Core_i7-13700KF 38000 1700 16 24 3.4 253
AMD_Ryzen_5_7500F 16500 AM5 6 12 3.7 65
AMD_Ryzen_5_7600X 21000 AM5 6 12 4.7 105
AMD_Ryzen_7_7800X3D 36000 AM5 8 16 4.2 120
Intel_Core_i9-14900K 62000 1700 24 32 3.2 253
